央视频道,#genre#
CCTV1综合,http://223.110.240.208:6610/gitv/live1/G_CCTV-1-AVS-4K264/G_CCTV-1-AVS-4K264.m3u8
CCTV3综艺4K,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV3综艺4K,http://223.110.240.208:6610/gitv/live1/G_CCTV-3-AVS-4K264/G_CCTV-3-AVS-4K264.m3u8
CCTV5体育4K,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
CCTV5体育4K,http://223.110.240.208:6610/gitv/live1/G_CCTV-5-AVS-4K264/G_CCTV-5-AVS-4K264.m3u8
CCTV6电影4K,http://223.110.240.208:6610/gitv/live1/G_CCTV-6-AVS-4K264/G_CCTV-6-AVS-4K264.m3u8
CCTV8电视剧4K,http://223.110.240.208:6610/gitv/live1/G_CCTV-8-AVS-4K264/G_CCTV-8-AVS-4K264.m3u8
CCTV16奥运4K,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV16奥运4K,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV16奥运4K,http://223.110.240.208:6610/gitv/live1/G_CCTV-16-4K/G_CCTV-16-4K.m3u8
CCTV8K超高清,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV4K超高清,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV4K超高清,http://ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV4K超高清,http://223.110.240.208:6610/gitv/live1/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8
纯享,http://ott.mobaibox.com/TVOD/3/224/3221228242/index.m3u8
纯享,http://ott.mobaibox.com/TVOD/3/224/3221227506/index.m3u8
4K修复,http://ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

